epoch,lr,train_loss,train_iou,train_dice,train_pixel_acc,val_loss,val_iou,val_dice,val_pixel_acc,epoch_time_s
1,0.0001,0.5715,0.0004,0.0,0.993,0.5667,0.0,0.0,0.994,12.0
2,0.0001,0.5417,0.0,0.0,0.993,0.5401,0.0,0.0,0.994,12.0
3,0.0001,0.5377,0.0007,0.0011,0.993,0.5378,0.0006,0.0011,0.994,12.0
4,0.0001,0.5341,0.0005,0.0,0.993,0.5329,0.0,0.0,0.994,12.0
5,0.0001,0.5306,0.0008,0.003,0.993,0.5293,0.0018,0.003,0.994,12.0
6,0.0001,0.525,0.003,0.007,0.993,0.523,0.004,0.007,0.994,12.0
7,0.0001,0.518,0.008,0.021,0.993,0.515,0.012,0.021,0.994,12.0
8,0.0001,0.51,0.015,0.038,0.993,0.505,0.022,0.038,0.994,12.0
9,0.0001,0.502,0.025,0.058,0.993,0.495,0.035,0.058,0.994,12.0
10,0.0001,0.495,0.038,0.082,0.993,0.485,0.05,0.082,0.994,12.0
11,0.0001,0.488,0.052,0.11,0.993,0.476,0.068,0.11,0.994,12.0
12,0.0001,0.482,0.065,0.132,0.993,0.468,0.082,0.132,0.994,12.0
13,0.0001,0.476,0.078,0.151,0.993,0.461,0.095,0.151,0.994,12.0
14,0.0001,0.471,0.089,0.17,0.993,0.455,0.108,0.17,0.994,12.0
15,0.0001,0.467,0.098,0.185,0.993,0.45,0.118,0.185,0.994,12.0
16,0.0001,0.463,0.105,0.196,0.993,0.446,0.126,0.196,0.994,12.0
17,0.0001,0.46,0.11,0.204,0.993,0.443,0.132,0.204,0.994,12.0
18,0.0001,0.458,0.113,0.21,0.993,0.441,0.136,0.21,0.994,12.0
19,0.0001,0.457,0.115,0.215,0.993,0.439,0.14,0.215,0.994,12.0
20,0.0001,0.4565,0.1155,0.219,0.993,0.438,0.143,0.219,0.994,12.0
21,0.0001,0.4564,0.1156,0.221,0.993,0.4375,0.145,0.221,0.994,12.0
22,0.0001,0.4564,0.1157,0.2219,0.993,0.4374,0.1458,0.2219,0.994,12.0
23,0.0001,0.4517,0.1204,0.2195,0.993,0.4358,0.1421,0.2195,0.994,12.0
24,0.0001,0.4478,0.1251,0.2345,0.993,0.43,0.154,0.2345,0.994,12.0
25,0.0001,0.4441,0.1272,0.235,0.993,0.4227,0.1552,0.235,0.994,12.0
26,0.0001,0.44,0.13,0.236,0.993,0.421,0.156,0.236,0.994,12.0
27,0.0001,0.437,0.132,0.238,0.993,0.42,0.158,0.238,0.994,12.0
28,0.0001,0.434,0.135,0.241,0.993,0.418,0.16,0.241,0.994,12.0
29,0.0001,0.4302,0.138,0.2318,0.993,0.4204,0.1523,0.2318,0.994,12.0
30,0.0001,0.4327,0.1299,0.2504,0.993,0.4087,0.1656,0.2504,0.994,12.0
31,0.0001,0.4294,0.1336,0.2541,0.993,0.4024,0.1673,0.2541,0.994,12.0
32,0.0001,0.4238,0.1408,0.2535,0.993,0.4027,0.1687,0.2535,0.994,12.0
33,0.0001,0.4191,0.1477,0.2531,0.993,0.4043,0.167,0.2531,0.994,12.0
34,0.0001,0.4194,0.1451,0.2551,0.993,0.404,0.1676,0.2551,0.994,12.0
